"Financial Year","Donor Name","Donation Made To","Date","Value"
"2024-25"," Australian Energy Producers","Australian Labor Party (Western Australian Branch)","01/07/2024","5500"
"2024-25"," Australian Energy Producers","Liberal Party of Australia, NSW Division","01/07/2024","5500"
"2024-25"," Australian Energy Producers","Liberal Party (W.A. Division) Inc","01/07/2024","9020"
"2024-25"," Australian Energy Producers","Liberal Party of Australia, NSW Division","09/07/2024","5500"
"2024-25"," Australian Energy Producers","Australian Labor Party (Northern Territory) Branch","19/07/2024","1650"
"2024-25"," Australian Energy Producers","Australian Labor Party (Western Australian Branch)","19/07/2024","4950"
"2024-25"," Australian Energy Producers","Liberal National Party of Queensland","31/07/2024","2200"
"2024-25"," Australian Energy Producers","Australian Labor Party (N.S.W. Branch)","07/08/2024","5500"
"2024-25"," Australian Energy Producers","Liberal National Party of Queensland","15/08/2024","16500"
"2024-25"," Australian Energy Producers","Liberal Party of Australia","24/08/2024","30000"
"2024-25"," Australian Energy Producers","Australian Labor Party (ALP)","16/09/2024","55000"
"2024-25"," Australian Energy Producers","National Party of Australia - N.S.W.","20/09/2024","1500"
"2024-25"," Australian Energy Producers","Country Liberal Party (NT)","01/10/2024","2200"
"2024-25"," Australian Energy Producers","National Party of Australia (WA) Inc","30/10/2024","1650"
"2024-25"," Australian Energy Producers","Australian Labor Party (Western Australian Branch)","04/11/2024","5500"
"2024-25"," Australian Energy Producers","National Party of Australia","01/01/2025","16500"
"2024-25"," Australian Energy Producers","Australian Labor Party (Western Australian Branch)","06/01/2025","5500"
"2024-25"," Australian Energy Producers","Liberal National Party of Queensland","23/01/2025","5000"
"2024-25"," Australian Energy Producers","Liberal Party of Australia (Victorian Division)","10/02/2025","2500"
"2024-25"," Australian Energy Producers","Liberal Party of Australia (Victorian Division)","10/02/2025","2200"
"2024-25"," Australian Energy Producers","Liberal Party of Australia (Victorian Division)","12/02/2025","2969"
"2024-25"," Australian Energy Producers","Liberal Party (W.A. Division) Inc","12/02/2025","2500"
"2024-25"," Australian Energy Producers","Australian Labor Party (Western Australian Branch)","18/02/2025","1650"
"2024-25"," Australian Energy Producers","Australian Labor Party (Western Australian Branch)","25/02/2025","1100"
"2024-25"," Australian Energy Producers","Liberal National Party of Queensland","12/03/2025","11000"
